BEV_DICHTH,OPP_WATER,AF_TREINST,AF_OVERST,AF_ZWEMB,AF_BIBLIO,P_SOCMINH,AV3_ARTSPR,AV1_SUPERM,AF_DAGLMD,AF_ZIEK_I,AF_POP,AV1_KDV,AV1_ONDBAS,AANTAL_HH,P_EENP_HH,P_HH_Z_K,P_HH_M_K,GEM_HH_GR,P_WEST_AL,P_N_W_AL,P_MAROKKO,P_ANT_ARU,P_SURINAM,P_TURKIJE,rail,residentials,parcs,recreational,forest,motor,road,agric,industrie,monu_dens,houses_before45,houses60_81,houses45_60,houses_after91,dom45_60,dom60_70,dom80_85,dom1900,ratiofree,ratiorow,ratioindustrie,ratiomeeting,horeca,score
4027,0,7.6,8.5,1.1,2.2,1,6.2,0.7,0.9,1.7,8.6,1,1.6,225,13,46,40,2.5,15,2,1,0,0,0,301.8817114,0,125.2669869,3877.627895,366.3753073,840.4144881,2533.133648,480.5318372,650.0952264,0,0.132352941,0.215686275,0.602941176,0.039215686,0.006176902,0.008587129,0.354992008,1,0.306029579,0.23890785,0.005688282,0.028441411,0.043888597,8
3731,0,5.5,7.7,1.1,2,4,9.2,1.7,0.8,2.9,7.8,0,1.3,260,24,35,41,2.4,15,3,0,1,0,0,463.9639758,0,78.09482973,3386.812569,236.3233231,732.8694515,1879.692925,324.1647602,741.1780363,0,0.098837209,0.543604651,0.020348837,0.098837209,1.256909814,0.643986935,2.600180743,0.911096224,0.169934641,0.263071895,0.040849673,0,0.02153129,7
4378,0,5.2,7.3,0.9,1.9,5,10.5,2,0.6,3.1,7.3,0,3,625,23,39,37,2.3,19,4,0,0,0,0,296.5751583,0,107.2332461,2045.551649,95.92669977,253.7325223,533.854004,394.9948279,646.6697259,0,0.316498316,0.34006734,0.272727273,0.063973064,0.014952954,0.214247128,0.031000715,1,0.258964143,0.147410359,0.011952191,0.011952191,0.390219051,7
4168,0,4.5,7.1,0.5,1.9,15,11,1.6,0.5,3.8,7.2,0,3.4,935,41,28,32,2,19,7,1,1,1,0,319.8998692,55.97199073,50.21339316,2859.103997,0,352.262731,1473.36776,75.82596906,38.40085583,0.01,0.454545455,0.090909091,0,0.295454545,0.013725846,0.001121749,0.014839598,1,0.334177215,0.040506329,0.263291139,0.010126582,0.012259939,7
2173,0,3.8,6.6,0.9,1.5,5,12.4,1.4,0.7,4.5,6.8,0,2.2,470,38,25,37,2.2,16,2,0,0,0,0,948.6675157,27.75326941,0,4450.221282,240.8169763,1098.031028,3255.39297,51.9686436,2206.030347,0,0.647058824,0.294117647,0.058823529,0,0.136540705,0.004891953,0.050396436,1,0.099173554,0.20661157,0.05785124,0.008264463,0.007824772,8
4942,0,7.1,7.3,1.8,1.4,16,5,0,1.2,1.3,7.4,0,0,120,46,26,28,1.9,22,8,3,1,0,0,811.9606138,0,114.2782045,151.7728649,112.4565079,767.2476893,1103.76245,267.8343415,917.6971146,0,0.163636364,0,0,0.836363636,0.198746422,0.062998562,0.27643141,1,0.319587629,0.221649485,0.012886598,0.015463918,0.010627193,6
4983,0,7.4,7.7,0.9,1.6,15,5.5,2.2,0.4,0.6,7.7,1,1.2,830,31,26,42,2.2,21,10,3,1,1,0,841.883644,0,17.05086238,2990.284086,7.952965492,2701.980074,1086.121492,267.9985695,928.7579426,0,0.361702128,0.280851064,0.204255319,0.174468085,2.504990319,0.222701199,0.50666651,1,0.278551532,0.169916435,0.027855153,0.016713092,0.023717845,6
5445,0,7.1,7.3,1.4,1.3,12,5,1.1,0.8,1.1,7.4,0.7,0.7,510,38,34,28,2,24,4,2,1,0,0,1364.151748,0,20.00967021,4095.376584,195.4568051,2724.867836,2666.605377,97.56479259,901.6859868,0,0.153061224,0.56122449,0.132653061,0.06122449,1.125005127,0.122148307,0.013450116,1,0.255609756,0.175609756,0.023414634,0.035121951,0.132453233,7
2784,0,8.1,8.5,1.2,2.1,3,5.5,1,0.7,0.4,8.5,1,1.2,335,23,40,38,2.4,20,2,1,0,0,0,1160.416884,0,157.5072616,1427.234783,193.8885343,1503.574461,397.1856677,872.5254165,1171.018013,0,0.811123986,0.052143685,0.017381228,0.091541136,2.41443062,0.298306332,0.662804633,1,0.416452442,0.084832905,0.030848329,0.038560411,0.005084408,8
6308,0,6.6,8,1.1,1.7,12,6.4,2.8,0.3,2,8,1,3.4,455,42,31,27,2,19,8,3,0,1,0,1408.375546,0,30.45818868,1917.832258,315.6653443,2025.748675,345.7444466,734.9958449,796.0982157,0,0.44645799,0.014827018,0.308072488,0.187808896,0.008305277,0.771563843,0.17596484,1,0.126120146,0.192167275,0.023232658,0.015267176,0.08898494,5
7169,0,6.4,7.7,1,1.4,11,7.6,3.7,0.6,1.9,7.7,0.9,3.4,370,40,31,29,1.9,23,3,1,1,1,0,892.4444978,0,122.3624482,1689.315352,199.020332,1779.616902,623.2308685,542.7495383,380.9848566,0.02,0.510936348,0.020889653,0.103219464,0.223642173,0.137813237,0.080690389,0.137431857,1,0.219380226,0.201180521,0.027053615,0.021151008,0.208080511,6
2894,0,6.3,7.9,1.4,1.6,7,7.9,2,0.8,2.4,7.9,0.1,1.2,175,29,37,34,2.2,22,7,4,0,0,0,186.0324654,0,102.0784459,582.6597411,95.03334362,5000,983.6748814,285.1468617,425.5467109,0,0,0.911016949,0.025423729,0.063559322,0.050863951,1.052703292,0.07880854,1,0.131369427,0.205414013,0.006369427,0.006369427,0.298979798,6
2434,0,9.1,11.7,1.5,2.8,7,1.8,1,0.4,1.8,25,0.1,1,800,28,38,35,2.3,16,4,1,0,0,0,3807.643083,0,60.56880079,5000,335.1944059,5000,386.668384,441.0901569,1001.678307,0,0.231578947,0.357894737,0.136842105,0.157894737,0.089417054,0.362301733,0.083689967,0.982823357,0.289340102,0.253807107,0.035532995,0,0.272798493,7
1212,1,10.2,10.4,3.1,4.4,6,0.2,0.1,2,3.4,26.6,0,0.8,605,25,36,39,2.4,18,4,0,1,0,0,3818.830063,0,52.25527538,5000,92.55184674,4075.269176,378.2643254,349.8599705,653.1074208,0,0.139534884,0.201550388,0.139534884,0.403100775,0.06416253,0.155625688,0.05143995,1.000740492,0.41,0.07,0.02,0,0.027446411,8
2628,0,6.9,10.9,1.6,0.9,5,2,1.3,0.4,1.1,22.5,0.7,1.6,3450,31,34,35,2.3,12,3,0,0,0,0,1127.662657,186.8956299,145.8210811,2800.807843,18.85041837,4345.982453,532.0894888,293.8755875,941.7316988,0,0,0,0,0,0.113775416,0.220330836,0.067654827,0.967755467,0.131343284,0.110447761,0.014925373,0.014925373,0.003389605,8
510,0,5.3,13,5.4,3.4,3,1.3,0,0.5,4.9,18.6,0.3,0.9,640,20,39,41,2.6,8,1,0,0,0,0,4564.568941,0,144.7162754,5000,137.376388,1390.366105,886.8047391,183.5467425,172.2807594,0.01,0.066666667,0.57037037,0.118518519,0.244444444,0.020191172,0.106918965,0.081506233,0.989530298,0.383419689,0.119170984,0.051813472,0.015544041,0.002033763,9
2529,0,2.4,10.5,7.7,0.9,4,2.1,1.9,0.5,7.2,18.7,0.6,1.2,1940,24,39,37,2.4,10,3,0,0,0,0,3599.10008,227.9164743,57.08436203,5000,229.4547575,1781.743913,1807.381947,0,817.6419167,0,0,0,0,0,0.458074179,0.282802315,0.126794425,0.998956878,0.152985075,0.302238806,0.02238806,0,0.018542701,7
1605,0,2.2,17.2,2.6,2.7,1,1.9,0,1.3,11,17,0,1,360,19,40,41,2.6,3,1,0,0,0,1,191.6677758,0,124.3377993,2566.533834,59.02108148,1155.00971,3747.467073,817.6369838,847.0493887,0,0.294117647,0.176470588,0.058823529,0.470588235,0.754417896,0.964398886,0.394487064,0.995535097,0.413043478,0.168478261,0.038043478,0.010869565,0.002525516,7
4335,0,1.8,16.1,2.1,1.4,7,2.7,1.7,1.6,8.9,15.9,0,1.7,1560,28,33,39,2.3,17,7,1,1,1,1,2664.157969,370.9505163,0,5000,65.56139214,775.6123876,802.8837836,101.1330411,740.323734,0,0.263157895,0.368421053,0.210526316,0.157894737,0.002254999,0,0.00557992,0.991462873,0.125461255,0.258302583,0.036900369,0.011070111,0.005514105,6
3496,14,1.9,16.3,1.8,2.4,5,2.8,0.8,1.3,11.7,16.1,1.1,1.4,2500,28,28,44,2.4,9,7,2,1,1,2,3051.13101,145.5136263,111.9751073,5000,0,673.5437901,1266.205938,392.838641,372.3834402,0,0.044444444,0.022222222,0.022222222,0.111111111,0.001704517,0.007298575,0.148982259,1,0.439790576,0.267015707,0.02617801,0,0.119257755,6
2727,11,0.6,15,0.7,0.6,7,3,3.4,0.4,9.7,14.8,0,1.4,1870,46,36,18,1.8,11,5,1,0,0,1,2381.138188,545.2352942,0,5000,143.8265113,170.7650163,293.5157234,258.3697701,0,0.06,0.055555556,0.055555556,0,0.861111111,0.08570987,0.037843062,0.163244967,0.946225435,0.234769688,0.069836553,0.054977712,0.007429421,0.01506236,6
3918,6,1.5,15.5,1,1.7,11,3,1.3,0.4,10.9,15.2,0.7,1.8,1520,30,30,41,2.4,13,36,9,1,1,20,1235.035315,534.251324,0,3815.996565,204.171833,2028.010551,4027.359691,129.5508126,859.9634582,0,0,0.538461538,0,0.461538462,0.095336893,2.633649283,0.053959697,1,0.058510638,0.190159574,0.122340426,0.002659574,0.021497914,4
2413,0,3.8,17.4,4,3.9,2,0,0,0.5,13,17.2,0,1,525,26,36,38,2.4,3,1,0,0,1,0,2680.159096,0,43.07022755,5000,62.74498436,578.2256118,648.9812878,382.0233094,180.9034022,0,0.12345679,0.325102881,0.090534979,0.156378601,0.09334263,0.058018644,0.132746881,0.924528398,0.415662651,0.259036145,0.06626506,0.012048193,0.003141381,7
